Matches Problem Solving/Finding (2),Matches Ways of Thinking (2),Matches Teamwork & Management (4),Matches User Centered (2),Matches Solutions & Decisions (3),Total Matches
2,2,4,2,3,13
0,3,1,4,0,8

