Matches Problem Solving/Finding (2),Matches Ways of Thinking (2),Matches Teamwork & Management (4),Matches User Centered (2),Matches Solutions & Decisions (3),Total Matches,Passed (T/F)
2,3,5,3,3,10,True
0,6,2,5,0,30,True
